source,edit,sentence,labels,short answer
Study-of-Microbes-microbiology,0,Generate: What science explores how microbes work?,The science of microbiology explores how microbes work and how to control them.,microbiology
Study-of-Microbes-microbiology,0,Generate: What did microbiologists and other researchers learn about microbes?,Microbiologists and other researchers have had many successes in learning how microbes cause certain infectious diseases and how to combat those microbes.,how microbes cause certain infectious diseases
Study-of-Microbes-microbiology,0,Generate: How many major groups do most microbes belong to?,"Most microbes belong to one of four major groups: bacteria, viruses, fungi, or protozoa.",four
Study-of-Microbes-microbiology,0,Generate: What is a common word for microbes that cause disease?,"A common word for microbes that cause disease is ""germs.""",germs
Study-of-Microbes-microbiology,0,Generate: What do some people refer to disease-causing microbes as?,"Some people refer to disease-causing microbes as ""bugs.""",bugs
Study-of-Microbes-microbiology,1,Generate: What does a flu bug mean?,"""I've got the flu bug,"" is a phrase you may hear during the wintertime to describe an influenza virus infection.",wintertime
Study-of-Microbes-microbiology,0,Generate: What do scientists call a group of many germs?,Scientists call a group of many germs bacteria.,bacteria
Study-of-Microbes-microbiology,0,Generate: What would a scientist call one germ?,A scientist would call one germ a bacterium.,a bacterium
Study-of-Microbes-microbiology,1,Generate: What is the plural of virus?,Scientists call one virus a virus but more than one are called viruses.,more than one
Study-of-Microbes-microbiology,0,Generate: What type of microscope is used to view larger microbes?,"There are two kinds of microscopes, light microscope to view larger microbes and the electron microscope used to view the smallest microbes.",light microscope
Study-of-Microbes-microbiology,0,Generate: Where can microbes be found?,Microbes can be found everywhere on the earth.,everywhere
Study-of-Microbes-microbiology,0,Generate: What do microbes live in?,"Microbes live in air, soil, rock, and water.","air, soil, rock, and water"
Study-of-Microbes-microbiology,0,Generate: Where are microbes found?,Microbes are found in plants and animals as well as in the human body.,plants and animals
Study-of-Microbes-microbiology,0,Generate: What type of temperatures can microbes live in?,Microbes can live in very hot temperatures and some live in extreme cold temperatures.,very hot
Study-of-Microbes-microbiology,0,Generate: What do some microbes need to live?,"Some microbes need oxygen to live, but others do not.",oxygen
Study-of-Microbes-microbiology,0,"Generate: What causes diseases in humans, plants, and animals?","Some microbes cause disease in humans, plants, and animals.",microbes
Study-of-Microbes-microbiology,0,"Generate: What are microbes that cause disease in humans, plants, and animals?","Microbes that cause disease in humans, plants, and animals are harmful microbes.",harmful
Study-of-Microbes-microbiology,1,Generate: Are microbes beneficial?,"Some microbes are essential for a healthy life, and we could not exist without them.",microbes
Study-of-Microbes-microbiology,0,Generate: What are microbes that are essential for a healthy life helpful?,Microbes that are essential for a healthy life are helpful microbes.,microbes
Study-of-Microbes-microbiology,1,Generate: Are bacteria helpful?,Some bacteria are helpful.,bacteria
Study-of-Microbes-microbiology,0,Generate: What helps with digestion?,Probiotics in the human intestine help with digestion.,Probiotics
Study-of-Microbes-microbiology,0,Generate: What is the most common type of bacteria used as probiotics?,Lactic acid bacteria (LAB) and bifidobacteria are the most common types of microbes used as probiotics.,Lactic acid bacteria
Study-of-Microbes-microbiology,0,Generate: What is the relationship between microbes and humans?,The relationship between microbes and humans is delicate and complex.,delicate and complex
Study-of-Microbes-microbiology,0,Generate: How long ago did researchers learn that microbes can cause many chronic diseases and conditions?,"Nearly a hundred years ago, researchers began to learn that microbes can cause many chronic diseases and conditions.",a hundred years ago
Study-of-Microbes-microbiology,0,"Generate: What can cause some forms of cancer, coronary artery disease, diabetes, multiple sclerosis and chronic lung diseases?","Scientific research has shown that microbes may cause some forms of cancer, coronary artery disease, diabetes, multiple sclerosis, and chronic lung diseases.",microbes
Study-of-Microbes-microbiology,0,Generate: What is an example of harmful bacteria?,An example of harmful bacteria is Anthrax.,Anthrax
Study-of-Microbes-microbiology,1,Generate: Can Anthrax cause death?,Anthrax can cause death.,Anthrax
Study-of-Microbes-microbiology,1,Generate: What is an example of harmful bacteria that causes sickness?,A harmful bacteria that causes sickness is Salmonella.,Salmonella
Study-of-Microbes-microbiology,0,Generate: What is a type of bacteria that causes the patient to be very sick but doesn't always cause death?,Salmonella is a type of bacteria causes the patient to be very sick but doesn't always cause death.,Salmonella
Study-of-Microbes-microbiology,0,Generate: What type of microbe must have a host cell to reproduce?,Viruses are a type of microbe that must have a host cell (such as an animal or plant cell) to reproduce.,Viruses
Study-of-Microbes-microbiology,1,Generate: What is an example of deadly virus?,A very deadly virus is the Ebola virus.,Ebola
Study-of-Microbes-microbiology,0,Generate: What is the effect of Ebola?,Patients often die from loss of blood with Ebola.,loss of blood
How-do-diseases-spread,0,Generate: Infectious diseases are caused by what?,Infectious diseases are illnesses caused by pathogens.,pathogens
How-do-diseases-spread,0,Generate: What are some pathogens?,"Examples of pathogens are parasites, bacteria, viruses, and fungi.","parasites, bacteria, viruses, and fungi"
How-do-diseases-spread,0,Generate: What can be transmitted in several different ways?,Pathogens can be transmitted in several different ways.,Pathogens
How-do-diseases-spread,0,Generate: What is a way that diseases are transmitted?,"Physical contact with contaminated food and water, body fluids, and airborne pathogens are ways that diseases are transmitted.",Physical contact
How-do-diseases-spread,0,Generate: What is a disease considered if it is easily transmitted?,"If a disease is easily transmitted, it is considered contagious.",contagious
How-do-diseases-spread,0,Generate: Pathogens are transmitted or carried by what?,Pathogens are transmitted or carried by a vector.,a vector
How-do-diseases-spread,0,Generate: What could a vector be?,"A vector could be a person, animal, or microorganism.","a person, animal, or microorganism"
How-do-diseases-spread,0,Generate: What is the best way to prevent the spread of disease?,"Since direct contact is a common means of transmission, the best way to prevent the spread of disease is to properly wash your hands.",properly wash your hands
How-do-diseases-spread,0,Generate: How can you protect yourself from getting sick?,"Since respiratory illnesses are spread through inhalation of pathogens, you can protect yourself from getting sick by avoiding contact with those who are coughing and sneezing.",avoiding contact with those who are coughing and sneezing
How-do-diseases-spread,0,Generate: What can a bodily fluid carry?,"Bodily fluids may carry pathogens. Therefore, you can protect yourself from getting sick by avoiding contact with bodily fluids.",pathogens
How-do-diseases-spread,0,Generate: How can you protect yourself from getting sick?,"Bodily fluids may carry pathogens. Therefore, you can protect yourself from getting sick by avoiding contact with bodily fluids.",bodily fluids
Immune-System,1,Generate: What kind of systems does a human body have?,"The human body has many systems, each of which has a specific function.",a specific function
Immune-System,1,Generate: What is a system to keep the body healthy?,The immune system has the job of keeping the body healthy.,The immune system
Immune-System,1,Generate: What does the immune system do?,"The immune system is able to recognize when the body is infiltrated with outside organisms, such as bacteria, parasites, virus, or fungi.",fungi
Immune-System,0,Generate: What is the immune system composed of?,The immune system is composed of several organs including the lymph nodes.,lymph nodes
Immune-System,1,Generate: Where are the lymph nodes found?,The lymph nodes are found throughout the body.,lymph nodes
Immune-System,0,Generate: What is one important function for lymph nodes?,One important function for the lymph nodes is to filter fluids circulating in the body.,to filter fluids circulating in the body
Immune-System,1,Generate: What do the lymph nodes do?,The lymph nodes store the materials that can fight infections.,lymph nodes
Immune-System,1,Generate: How does the immune system work when it identifies that an attacker has infiltrated the body?,"Once the immune system identifies that an attacker has infiltrated the body, the system will send out various cells to attack and try to destroy the invaders.",the immune system
Genetic-Diseases,0,Generate: Not all diseases have the same means of what?,"Not all diseases have the same means of transmission. Some diseases are infectious, while others are genetic.",transmission
Genetic-Diseases,1,Generate: Do all diseases have the same means of transmission?,"Not all diseases have the same means of transmission. Some diseases are infectious, while others are genetic.",infectious
Genetic-Diseases,0,Generate: What is an invading organism called?,"Infectious diseases are caused by an invading organism, called a pathogen, entering the body of a host. For example, streptococcus pneumoniae bacteria can invade the human body, and cause a person to become ill with pneumonia.",pathogen
Genetic-Diseases,0,Generate: What bacteria can invade the body of a host?,"Infectious diseases are caused by an invading organism, called a pathogen, entering the body of a host. For example, streptococcus pneumoniae bacteria can invade the human body, and cause a person to become ill with pneumonia.",streptococcus pneumoniae
Genetic-Diseases,1,Generate: How can we avoided an infectious disease?,An infectious disease can be avoided by not coming into contact with the pathogen.,not coming into contact with the pathogen
Genetic-Diseases,0,Generate: Genetic diseases are caused by what?,Genetic diseases are caused by modified DNA within an organism.,modified DNA
Genetic-Diseases,0,Generate: What are some examples of genetic diseases?,"Examples of genetic diseases include sickle cell, cystic fibrosis, and Tay-Sachs.","sickle cell, cystic fibrosis, and Tay-Sachs"
Genetic-Diseases,0,Generate: What are genetic changes called?,"Genetic changes, or mutations, in genes can sometimes cause certain abnormalities leading to disease.",mutations
Smallpox,0,Generate: What virus is found only in research settings?,"Today, the smallpox virus is only found in research settings.",smallpox
Smallpox,0,Generate: What virus causes smallpox?,"Smallpox is caused by the Variola virus, which is passed from person to person by extended direct contact.",Variola virus
Smallpox,1,Generate: Is there a treatment for smallpox?,There is no treatment for smallpox and the disease is often fatal.,smallpox
BacteriaStructurePoster,1,Generate: What is a nucleoid?,"Bacteria have a cell wall and a nucleoid, which contains genetic material that floats freely.",a cell wall and a nucleoid
Food-Safety,0,Generate: How many Americans could get sick from food poisoning this year?,"According to the U.S. Department of Health and Human Services, one in six Americans could get sick from food poisoning alone this year.",one in six
Food-Safety,1,Generate: How do we protect ourselves from food poisoning?,"When handling food, before and after cooking, we need to make sure that we are mindful of how to protect ourselves from harmful bacteria that causes food poisoning.",food
Food-Safety,1,Generate: How can we contaminate our food and our bodies?,There are many different ways that we can contaminate our food and our bodies if we do not follow food safety tips and cooking labels.,food safety tips and cooking labels
Food-Safety,0,"Generate: When you are ready to prepare food, what is important to do?","It is important to clean your hands, surfaces, and utensils throughout your kitchen when you are getting ready to prepare food.","clean your hands, surfaces, and utensils"
Food-Safety,1,Generate: How can bacteria cause us to get ill in the kitchen?,Bacteria that cause us to get ill can live throughout our kitchen and if you do not clean the surfaces the right way then you are putting yourself and others at risk of getting sick from bacteria.,bacteria
Food-Safety,1,Generate: How do you prepare certain foods not to contaminate your food?,"As you start to prepare a meal, you need to make sure that you are careful with how you prep certain foods so that you do not cross-contaminate your food.",you do not cross-contaminate your food
Food-Safety,0,Generate: What can be easily spread between surfaces and foods when you are preparing a meal?,Bacteria can easily spread between surfaces and foods when you are preparing a meal if you are not mindful of the surfaces and utensils you are using.,if you are not mindful of the surfaces and utensils you are using
Food-Safety,0,Generate: What is a danger to you when you are cooking foods?,"When you are cooking a variety of foods, it is important to carefully follow the directions so that we do not put ourselves at risk for getting food poisoning.",food poisoning
Food-Safety,1,Generate: Why is there the recommended temperature for cooking?,"There are recommended cooking temperatures for a reason. When food does not reach the recommended temperature, then bacteria that causes us to get food poisoning multiplies quickly.",cooking temperatures
Food-Safety,0,Generate: What causes us to get food poisoning?,"When food does not reach the recommended temperature, then bacteria that causes us to get food poisoning multiplies quickly.",bacteria
Food-Safety,0,Generate: What can be killed when you heat food to a high temperature?,"When you heat food to a high enough temperature, then the disease-causing bacteria can be killed.",bacteria
Salmonellosis,1,Generate: What is Salmonella?,Salmonella is a rod shaped bacterium in the bacillus genus.,bacillus genus
Salmonellosis,0,Generate: Salmonellosis is caused by what?,Salmonellosis is an illness caused by the bacilli Salmonella.,bacilli Salmonella
Salmonellosis,0,Generate: Salmonella bacteria are passed to animals and people through what?,Salmonella bacteria are passed to animals and people through feces.,feces
Salmonellosis,0,Generate: What is the most commonly reported bacterial infection?,The Surveillance Report from the Food Diseases Active Surveillance states that salmonellosis is the most commonly reported bacterial infection.,salmonellosis
Salmonellosis,0,Generate: How much of human infections are caused by salmonella bacterium?,Two types of salmonella bacterium are the cause of about half of human infections.,about half
Salmonellosis,1,Generate: Does Salmonella infection exhibit common symptoms in all people?,Salmonella infection does not exhibit symptoms in all people.,Salmonella
Salmonellosis,0,Generate: What do most patients infected with Salmonella experience within a few hours to a few days of infection?,"Most patients infected with Salmonella experience fever, abdominal cramps, and diarrhea within a few hours to a few days of infection.","fever, abdominal cramps, and diarrhea"
Salmonellosis,1,Generate: How long do people with Salmonella get better?,Most people with Salmonella infection get better in a few days without seeing a doctor.,a few days
Salmonellosis,1,Generate: Who are at a higher risk when salmonellosis is suspected?,"People with chronic medical conditions, the elderly, young children, and pregnant women are at a higher risk for developing serious complications, and they should seek medical attention if salmonellosis is suspected.",serious complications
Salmonellosis,1,Generate: How are the Salmonella bacteria usually transmitted to humans?,The Salmonella bacteria are usually transmitted to humans by eating food that has been accidentally contaminated with fecal matter.,fecal matter
Salmonellosis,1,Generate: How do we prevent the contamination of food with Salmonella?,"According to the United Stated Department of Agriculture (USDA), several steps can be taken to prevent the contamination of food with Salmonella. It is essential that people wash their hands after coming into contact with feces.",Salmonella
Salmonellosis,1,Generate: What do people need to do to prevent Salmonella infection?,It is essential that people wash their hands after coming into contact with feces.,feces
Salmonellosis,0,Generate: What are some common situations where contact with feces can occur?,"Common situations where contact with feces can occur include handling pets, changing diapers, or going to the bathroom.",pets
Salmonellosis,0,Generate: How should food preparation areas and materials be cleaned?,Food preparation areas and materials should be cleaned thoroughly throughout cooking.,thoroughly
Salmonellosis,0,Generate: What should be separated from other foods while preparing food?,"While preparing food, raw meats should be separated from other foods and separate utensils should be used.",raw meats
Salmonellosis,0,Generate: How should food be cooked?,Food should be cooked to the proper internal temperature.,to the proper internal temperature
Salmonellosis,1,Generate: What type of food should be properly refrigerated?,"Food such as milk products, eggs, meat, poultry, fish, and shellfish should be refrigerated properly.",refrigerated
Salmonellosis,1,Generate: How can we reduce the possibility of contracting and spreading Salmonellosis?,Following proper sanitation practices will help to reduce the possibility of contracting and spreading Salmonellosis.,Salmonellosis
Description-of-Viruses,0,Generate: What types of microbes are there?,"There are many different type of microbes, such as bacteria, fungi, parasites, and viruses.","bacteria, fungi, parasites, and viruses"
Description-of-Viruses,0,Generate: What are the smallest microbes?,"Viruses are the smallest microbes, which scientists study in the field of microbiology.",Viruses
Description-of-Viruses,1,Generate: What is a virus unable to do?,"A virus is not made up of cells, thus it is unable to carry out cellular functions.",cellular functions
Description-of-Viruses,1,Generate: How does a virus reproduce?,"In order to reproduce, a virus must invade a cell and use the cell’s organelles, which are small organ-like parts of the cell.",organelles
Description-of-Viruses,0,Generate: What do Viruses not have?,Viruses do not have organelles.,organelles
Description-of-Viruses,0,Generate: What is the outer structure of a virus called?,The coat of a virus is called the capsid but other viruses have an outer structure called an envelope.,an envelope
Description-of-Viruses,0,Generate: What does a capsid hold?,A capsid holds the virus's nucleic acid.,nucleic acid
Description-of-Viruses,0,Generate: What factors determine the shape of a virus?,The shape of a virus is determined by the nucleic acid and capsid.,nucleic acid and capsid
Description-of-Viruses,0,Generate: What are usually harmful to the host?,"Viruses are usually harmful to the host, and some even cause diseases in humans.",Viruses
Vaccines,0,Generate: What is an important defense against the spread of infectious diseases?,Vaccines are an important line of defense against the spread of infectious diseases.,Vaccines
Vaccines,0,Generate: What allow people to develop immunity so that they don't get the disease in the future?,Vaccines allow people to develop immunity so that they do not get the disease in the future.,Vaccines
Vaccines,0,Generate: How does a vaccine work?,A vaccine works by introducing a weak or dead microbe to the body.,introducing a weak or dead microbe to the body
Vaccines,0,Generate: What does the body recognize after a vaccination?,"When the body recognizes a foreign microbe after vaccination, it immediately begins to fight against it.",a foreign microbe
Vaccines,0,Generate: What type of cells do some of the body's fighting cells turn into after vaccination?,"Once a microbe has been defeated, some of the body's fighting cells turn into memory cells after vaccination.",memory
Vaccines,0,Generate: What are prepared to fight against the same type of microbe after vaccination?,"After vaccination memory cells are then prepared to fight against the same type of microbe later on, if the body is introduced to it again.",memory cells
Vaccines,1,Generate: What type of infectious disease devastated people before vaccination affect people throughout the nineteenth and early twentieth centuries?,"Infectious disease before vaccination, like diphtheria and pertussis, devastated people throughout the nineteenth and early twentieth centuries.",diphtheria and pertussis
Vaccines,1,Generate: What type of disease caused hundreds and thousands of people to die?,"When an outbreak of diptheria or pertussis occurred, hundreds and even thousands of people often died.",diptheria or pertussis
Vaccines,1,Generate: In what year did the great influenza epidemic kill thousands of people?,"In 1918, the great influenza epidemic of the U.S. killed thousands of people.",1918
Vaccines,1,"Generate: In the 1918 great influenza epidemic, how quickly did it make people die?","In the 1918 great influenza epidemic, some people died within hours after becoming ill. With vaccination today, the National Institute of Allergy and Infectious Diseases conducts research that helps lead to the development of new and improved vaccines.",1918
Vaccines,1,Generate: What kinds of vaccines were developed for in the twentieth century?,"In the twentieth century vaccines were developed for many diseases, such as influenza.",influenza
Vaccines,1,Generate: What happened with more people vaccinated?,"As more and more people were vaccinated in the 20th century, the spread of disease and number of deaths decreased.",20th century
Vaccines,0,Generate: What causes some diseases to be eradicated?,Today some diseases have been eradicated because of worldwide vaccinations.,worldwide vaccinations
Polio,1,Generate: What is poliomyelitis?,"Poliomyelitis, also known as polio, is an infectious disease that can cause paralysis or even death in a small percentage of people.",polio
Polio,0,Generate: What is the cause of polio?,Polio is caused by the poliovirus.,poliovirus
Polio,1,Generate: Where does the poliovirus typically invade the host's cells?,The poliovirus typically invades the host’s cells in the throat and intestinal tract to reproduce and grow.,poliovirus
Polio,1,Generate: Is polio highly contagious?,Polio is highly contagious.,Polio
Polio,1,Generate: How is polio spread??,"Polio is spread by an infected person’s coughs, sneezes or contact with an infected person’s stool.",sneezes
Polio,1,Generate: What are the symptoms of polio?,Polio is notable because over 70% of infected patients experience no symptoms. About 24% of people who are infected with polio have minor flulike symptoms. Less than 5% of people infected with polio develop stiffness in the back or legs. Less than 1% of people infected with polio develop paralysis of the limbs. A very small percentage of the people who develop paralysis as a result of a polio infection develop paralysis in the respiratory muscles and ultimately die.,70%
Polio,0,Generate: What percentage of people who are infected with polio have minor flu symptoms?,About 24% of people who are infected with polio have minor flulike symptoms.,24%
Polio,0,Generate: How much of people infected with polio develop stiffness in the back or legs?,Less than 5% of people infected with polio develop stiffness in the back or legs.,5%
Polio,0,Generate: What percentage of people infected with polio develop paralysis of the limbs?,Less than 1% of people infected with polio develop paralysis of the limbs.,1%
Polio,1,Generate: Can polio infection causes paralysis in the respiratory muscles?,A very small percentage of the people who develop paralysis as a result of a polio infection develop paralysis in the respiratory muscles and ultimately die.,polio
Polio,1,Generate: Is it possible to spread polio by a patient without symptoms?,"If a person is infected with polio, they may spread the disease even if they do not show any symptoms.",polio
Polio,0,Generate: When did the polio outbreak occur?,The polio disease had many outbreaks in the United States in the 19th and first half of the 20th century.,19th
Polio,1,Generate: What has polio been virtually eliminated through?,"Through a widespread vaccination campaign, polio has been virtually eliminated.",polio
SmallpoxPoster,1,Generate: What is smallpox?,Smallpox is a viral infection.,Smallpox
SmallpoxPoster,1,Generate: What are the symptoms of smallpox?,"The symptoms of smallpox are vomiting, diarrhea, and severe rash.",smallpox
SmallpoxPoster,0,Generate: What is the way to treat or prevent smallpox?,The way to treat or prevent smallpox is with vaccination.,vaccination
Viral-versus-Bacterial-Reproduction,1,Generate: Can bacteria and viruses reproduce?,"Bacteria and viruses have different methods of reproducing. Bacteria are able to reproduce on their own, while viruses are unable to reproduce independently.",Bacteria and viruses
Viral-versus-Bacterial-Reproduction,0,Generate: Bacteria can reproduce through what?,Bacteria can reproduce through asexual and sexual reproduction.,asexual and sexual reproduction
Viral-versus-Bacterial-Reproduction,0,Generate: How many cells does a bacterium's cell split into?,"A bacterium's cell splits into two cells, which are exact clones of the original cell during asexual reproduction.",two
Viral-versus-Bacterial-Reproduction,1,Generate: How does sexual reproduction of bacteria work?,Sexual reproduction of bacteria involves two cells sharing genetic information and producing a genetically different offspring.,two
Viral-versus-Bacterial-Reproduction,1,Generate: Are bacteria able to reproduce on their own?,Bacteria are able to reproduce on their own.,Bacteria
Viral-versus-Bacterial-Reproduction,1,Generate: Are viruses able to reproduce independently?,Viruses are unable to reproduce independently.,Viruses
Viral-versus-Bacterial-Reproduction,1,Generate: What is a virus made up of?,A virus is simply genetic material in a membrane.,A virus
Viral-versus-Bacterial-Reproduction,1,Generate: Do viruses have the mechanisms to reproduce on their own?,Viruses do not have the mechanisms to reproduce on their own.,Viruses
Viral-versus-Bacterial-Reproduction,0,Generate: What does a virus use to reproduce itself?,A virus will use the reproduction mechanism of the host cell to reproduce itself.,the reproduction mechanism of the host cell
FordDialog,1,Generate: Is a virus a type of pathogen?,Viruses are a type of pathogen.,Viruses
FordDialog,1,Generate: What do viruses need to survive?,"Viruses need a host for survival, can cause illness, and spread between people.",Viruses
FordDialog,0,Generate: What are the smallest type of pathogen?,Viruses are the smallest type of pathogen.,Viruses
FordDialog,0,Generate: How large are viruses?,"Viruses are smaller than 200 nanometers in size, which means they are extremely tiny.",200 nanometers
FordDialog,1,Generate: What shapes do viruses have?,"Viruses come in lots of strange shapes like skinny sticks, looped strings, polyhedrols, spiky orbs, bricks, bricks with round corners, and lunar landing pods.",Viruses
FordDialog,1,Generate: What type of material do virus structures have?,Virus structures have a capsid and genetic material.,capsid and genetic material
FordDialog,1,Generate: Are viruses cells?,"Viruses are not cells, so they have a very different structure than cells.",Viruses
FordDialog,1,Generate: Are viruses alive?,Viruses are not alive.,Viruses
FordDialog,1,Generate: Can viruses reproduce on their own?,"Viruses can't reproduce on their own, they can't respond to their environment, and they don't grow.",Viruses
FordDialog,1,Generate: Is a feline immunodeficiency virus able to affect to humans?,Feline immunodeficiency virus is a virus that affects cats but not humans.,cats
All-About-Bacteria - All-About-Bacteria,1,Generate: Where can we find bacteria?,Bacteria are tiny living organisms that are found everywhere.,Bacteria
All-About-Bacteria - All-About-Bacteria,1,Generate: Can we see bacteria?,You have to use a microscope to see bacteria.,a microscope
All-About-Bacteria - All-About-Bacteria,0,Generate: Where are Bacteria found?,Bacteria are found everywhere in the world and even inside other living things.,everywhere
All-About-Bacteria - All-About-Bacteria,0,Generate: How many Bacteria are identified?,Bacteria come in several different shapes and that is how many of them are identified.,how many
All-About-Bacteria - All-About-Bacteria,1,Generate: What is cocci?,Bacteria called cocci are shaped like little round balls.,cocci
All-About-Bacteria - All-About-Bacteria,1,Generate: Do some cocci group together?,"Some cocci live all by themselves, but some cocci group together like beads on a string (streptococci) or in clumps like grapes (staphylococci).",clumps
All-About-Bacteria - All-About-Bacteria,1,Generate: Are there rod-shaped bacteria?,"Some bacteria are rod-shaped, like little hot dogs.",bacter
All-About-Bacteria - All-About-Bacteria,0,Generate: Bacteria that are rod-shaped are called what?,Bacteria that are rod-shaped are called bacilli.,bacilli
All-About-Bacteria - All-About-Bacteria,1,Generate: What are some bacteria like little spirals called?,Some bacteria are like little spirals which are called spirilli.,spirilli
All-About-Bacteria - All-About-Bacteria,1,Generate: Can bacteria move?,Some bacteria have tails and can swim through liquids!,liquids
All-About-Bacteria - All-About-Bacteria,1,Generate: What can give you a clue about the names of bacteria?,The names of some bacteria can give you a clue about their shape.,bacteria
All-About-Bacteria - All-About-Bacteria,1,Generate: Are bacteria all bad?,"Many people think that bacteria are all bad, but there are many bacteria that are actually good for you.",bad
All-About-Bacteria - All-About-Bacteria,1,Generate: Are bacteria able to improve our health?,You actually couldn’t be healthy without some types of bacteria.,bacteria
All-About-Bacteria - All-About-Bacteria,0,Generate: Bacteria on your skin helps keep the number of good and bad bacteria in balance so you don’t get what?,Bacteria on your skin help keep the number of good and bad bacteria in balance so you don’t get rashes and pimples.,rashes and pimples
All-About-Bacteria - All-About-Bacteria,1,Generate: How do bacteria inside your intestines help us?,Bacteria inside your intestines help you digest food and fight off other harmful bacteria.,intestines
All-About-Bacteria - All-About-Bacteria,0,Generate: What is a tasty way to help keep the right amount of good bacteria?,"A tasty way to help keep the right amount of good bacteria is to eat foods like milk, ice cream, yogurt, and cheese.","eat foods like milk, ice cream, yogurt, and cheese"
KimDialog,0,Generate: What are the main characteristics of pathogens?,"The main characteristics of pathogens are that they make people ill, they require hosts, and can spread from one host to another.",they make people ill
KimDialog,0,Generate: What are agents that can change the genetic information of organisms?,"Mutagens are agents that can change the genetic information, like DNA, of organisms.",Mutagens
KimDialog,0,Generate: What do some mutagens cause?,"Some mutagens cause cancer, making them carcinogens as well.",carcinogens
KimDialog,1,Generate: Can mutagens spread from person to person?,Mutagens cannot spread from person to person like pathogens.,pathogens
KimDialog,0,Generate: What are agents that promote or facilitate cancer?,Carcinogens are agents that promote or facilitate cancer.,Carcinogens
KimDialog,1,Generate: Can Carcinogens spread from one person to the next?,Carcinogens cannot spread from one person to the next like pathogens.,pathogens
Microbe-Comparison,1,"Generate: Are bacteria, fungi, parasites and viruses different?","Bacteria, fungi, parasites, and viruses all have unique characteristics.",unique characteristics
Microbe-Comparison,1,Generate: How does the majority of bacteria take in nutrients?,The majority of bacteria take in nutrients through unique paths such as absorbing light or decomposing elements in their environments.,absorbing light or decomposing elements
Microbe-Comparison,1,Generate: What are fungi?,"Fungi are a kingdom of organism that is made up of hyphae, or long filaments, which absorb nutrients from the environment.",hyphae
Microbe-Comparison,1,Generate: What are parasites?,Parasites are small microorganisms that get their nutrients from a host organism and typically do harm to the host.,Parasites
Microbe-Comparison,0,Generate: What are the smallest microbes?,Viruses are the smallest microbes and require a host organism to reproduce.,Viruses
Microbe-Comparison,1,Generate: What kinds of microbes cause infectious diseases?,"Bacteria, fungi, parasites, and viruses are all known to cause infectious diseases.",infectious diseases
Microbe-Comparison,1,"Generate: How to treat and prevent bacteria, parasites, and viruses?","Bacteria, fungi, parasites, and viruses must each be handled accordingly with a specific method of treatment and prevention.",fungi
Storing-Food,0,Generate: What is the cause of infectious diseases?,Many infectious diseases are the result of contaminated food.,contaminated food
Storing-Food,0,Generate: What can be reduced through proper handling and preparation of food?,"Through proper handling and preparation of food, the number of food borne illnesses can be decreased.",the number of food borne illnesses
Storing-Food,0,Generate: How many deaths are caused by airborne food?,"The Centers for Disease Control and Prevention states airborne food ailments cause about 325,000 hospitalizations and 5,200 deaths nationwide each year. Food safety starts at the grocery store.","5,200"
Storing-Food,0,Generate: Where does food safety start?,"The Centers for Disease Control and Prevention states airborne food ailments cause about 325,000 hospitalizations and 5,200 deaths nationwide each year. Food safety starts at the grocery store.",grocery store
Storing-Food,1,Generate: What should you do when buying raw meat?,"When buying raw meat, keep it separate from other food while it is in the shopping cart and grocery bag.",keep it separate from other food while it is in the shopping cart and grocery bag
Storing-Food,1,Generate: How should we avoid to handle raw meat?,Try to prevent meat drippings from falling on other food items.,prevent meat drippings from falling
Storing-Food,1,Generate: How long do we not allow refrigerated and freezer items to be out of the cold?,Do not allow refrigerated and freezer items to be out of the cold for more than two hours.,two hours
Storing-Food,0,Generate: How can bacteria begin to grow on raw meat products?,Bacteria can begin to grow on raw meat products if kept out of the cold for too much time.,if kept out of the cold for too much time
Storing-Food,1,"Generate: When cooking, how can we avoid cross contamination of raw meat?","When cooking, use separate utensils for raw meat to avoid cross contamination.",cross contamination
Storing-Food,1,Generate: How can we reduce foodborne illnesses?,"If food safety rules are followed, the number of foodborne illnesses will be reduced.",food safety rules
RobertDialog,1,Generate: Can bacteria be pathogens?,Bacteria can be pathogens.,pathogens
RobertDialog,1,Generate: Why do bacteria need a host?,"Bacteria need a host, can spread from person to person, and cause illness.",a host
RobertDialog,1,Generate: Are all bacteria pathogens?,Not all bacteria are pathogens.,pathogens
RobertDialog,1,Generate: Are bacteria harmless to humans?,Many bacteria are harmless to humans.,bacteria
RobertDialog,1,Generate: What is the size of a bacteria?,"Bacteria are the smallest type of living organism, as small as 200 nanometers.",200 nanometers
RobertDialog,1,Generate: What shape ca bacteria have?,"Bacteria can be spiral-shaped, rod-shaped, or round.","spiral-shaped, rod-shaped, or round"
RobertDialog,1,Generate: Bacteria are what type of organisms?,Bacteria are single-celled organisms without nuclei.,single-celled
RobertDialog,1,Generate: What type of structures do bacteria have?,"Structurally, bacteria have a cell wall and genetic material.",a cell wall
RobertDialog,1,Generate: Are all bacteria pathogens?,Not all bacteria are pathogens.,pathogens
RobertDialog,0,Generate: How many different types of bacteria are in your mouth?,There are twenty-five different types of bacteria in your mouth alone!,twenty-five
Viruses,0,Generate: What is a virus?,A virus is a microscopic infective agent that depends on a host to receive nutrients to reproduce.,a microscopic infective agent
Viruses,0,Generate: What does a virus contain?,"Unlike bacteria, which are complex single-cell organisms, viruses only contain genetic material surrounded by a protein coating.",a protein coating
